word,Length,Syllables,Compound,Number of Vowels,Frequency,Silent Letters,Regular Plural,Irregular Plural,Syll/Vowels,Length/Syll,Vow/Length,PhonicLength,PL-L,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
park,4,1,0,1,4.87,0,0,0,1,4,0.25,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sleep,5,1,0,2,5.44,0,0,0,0.5,5,0.4,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweep,5,1,0,2,3.93,0,0,0,0.5,5,0.4,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
road,4,1,0,2,5.08,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ring,4,1,0,1,4.93,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
swing,5,1,0,1,4.34,0,0,0,1,5,0.2,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
wing,4,1,0,1,4.34,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
spring,6,1,0,1,4.57,0,0,0,1,6,0.166666667,5,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
west,4,1,0,1,4.71,0,0,0,1,4,0.25,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nest,4,1,0,1,4.05,0,0,0,1,4,0.25,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chest,5,1,0,1,4.48,0,0,0,1,5,0.2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
fax,3,1,0,1,3.83,0,0,0,1,3,0.333333333,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feather,7,2,0,3,3.8,0,0,0,0.666666667,3.5,0.428571429,5,-2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
jet,3,1,0,1,4.1,0,0,0,1,3,0.333333333,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
vet,3,1,0,1,3.76,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
net,3,1,0,1,4.25,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mad,3,1,0,1,5.1,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
can,3,1,0,1,6.73,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bat,3,1,0,1,4.23,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hut,3,1,0,1,4.08,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
car,3,1,0,1,5.68,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
leg,3,1,0,1,4.77,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
six,3,1,0,1,5.24,0,0,0,1,3,0.333333333,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
box,3,1,0,1,4.91,0,0,0,1,3,0.333333333,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ant,3,1,0,1,3.81,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wrench,6,1,0,1,3.38,0,0,0,1,6,0.166666667,4,-2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sad,3,1,0,1,4.93,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fan,3,1,0,1,4.56,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
man,3,1,0,1,6.22,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pan,3,1,0,1,4.12,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat,3,1,0,1,4.83,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hat,3,1,0,1,4.61,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mat,3,1,0,1,3.6,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rat,3,1,0,1,4.49,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nut,3,1,0,1,4.1,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
foot,4,1,0,2,4.82,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
star,4,1,0,1,4.94,0,0,0,1,4,0.25,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
peg,3,1,0,1,3.37,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kiss,4,1,0,1,5.08,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fox,3,1,0,1,4.2,0,0,0,1,3,0.333333333,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
plant,5,1,0,1,4.48,0,0,0,1,5,0.2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bench,5,1,0,1,3.92,0,0,0,1,5,0.2,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dress,5,1,0,1,4.88,0,0,0,1,5,0.2,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lock,4,1,0,1,4.71,0,0,0,1,4,0.25,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
duck,4,1,0,1,4.33,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bill,4,1,0,1,4.89,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gift,4,1,0,1,4.85,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
plum,4,1,0,1,3.5,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
glass,5,1,0,1,4.83,0,0,0,1,5,0.2,4,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bank,4,1,0,1,4.95,0,0,0,1,4,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
shelf,5,1,0,1,3.78,0,0,0,1,5,0.2,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
three,5,1,0,2,5.7,0,0,0,0.5,5,0.4,3,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
chess,5,1,0,1,3.88,0,0,0,1,5,0.2,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
rock,4,1,0,1,5.01,0,0,0,1,4,0.25,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sock,4,1,0,1,3.73,0,0,0,1,4,0.25,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
clock,5,1,0,1,4.82,0,0,0,1,5,0.2,4,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
truck,5,1,0,1,4.81,0,0,0,1,5,0.2,4,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hill,4,1,0,1,4.86,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mill,4,1,0,1,3.92,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pill,4,1,0,1,4.13,0,0,0,1,4,0.25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
grill,5,1,0,1,3.69,0,0,0,1,5,0.2,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lift,4,1,0,1,4.66,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
thumb,5,1,0,1,4.01,1,0,0,1,5,0.2,3,-2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
drum,4,1,0,1,4.04,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
class,5,1,0,1,5.11,0,0,0,1,5,0.2,4,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tank,4,1,0,1,4.4,0,0,0,1,4,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
elf,3,1,0,1,3.62,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tree,4,1,0,2,4.84,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wave,4,1,0,2,4.47,0,0,0,0.5,4,0.5,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
plate,5,1,0,2,4.4,0,0,0,0.5,5,0.4,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
wood,4,1,0,2,4.45,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kite,4,1,0,2,3.54,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fire,4,2,0,2,5.3,0,0,0,1,2,0.5,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
cube,4,1,0,2,3.52,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beach,5,1,0,2,4.71,0,0,0,0.5,5,0.4,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bow,3,1,0,1,4.32,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
girl,4,1,0,1,5.78,0,0,0,1,4,0.25,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deer,4,2,0,2,3.99,0,0,0,1,2,0.5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grave,5,1,0,2,4.43,0,0,0,0.5,5,0.4,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
eight,5,1,0,2,4.95,0,0,0,0.5,5,0.4,3,-2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
mud,3,1,0,1,4.13,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
knight,6,1,0,1,4.08,1,0,0,1,6,0.166666667,4,-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tyre,4,2,0,2,3.4,0,0,0,1,2,0.5,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
tube,4,1,0,2,4,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peach,5,1,0,2,3.71,0,0,0,0.5,5,0.4,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snow,4,1,0,1,4.61,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pearl,5,1,0,2,4.07,0,0,0,0.5,5,0.4,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spear,5,2,0,2,3.74,0,0,0,1,2.5,0.4,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balloon,7,2,0,3,3.88,0,0,0,0.666666667,3.5,0.428571429,6,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bird,4,1,0,1,4.67,0,0,0,1,4,0.25,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
puzzle,6,2,0,2,3.82,0,0,0,1,3,0.333333333,5,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
calf,4,1,0,1,3.62,1,0,0,1,4,0.25,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fountain,8,2,0,4,3.75,0,0,0,0.5,4,0.5,7,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
britain,7,2,0,3,3.94,0,0,0,0.666666667,3.5,0.428571429,6,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
boat,4,1,0,2,4.93,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
goal,4,1,0,2,4.54,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
door,4,1,0,2,5.51,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pancake,7,2,1,3,3.43,0,0,0,0.666666667,3.5,0.428571429,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
moon,4,1,0,2,4.8,0,0,0,0.5,4,0.5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spoon,5,1,0,2,3.92,0,0,0,0.5,5,0.4,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
third,5,1,0,1,4.87,0,0,0,1,5,0.2,4,-1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
bubble,6,2,0,2,3.92,0,0,0,1,3,0.333333333,5,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
half,4,1,0,1,5.32,1,0,0,1,4,0.25,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scalf,5,1,0,1,2.93,1,0,0,1,5,0.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mountain,8,2,0,4,4.65,0,0,0,0.5,4,0.5,7,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
curtain,7,2,0,3,3.84,0,0,0,0.666666667,3.5,0.428571429,6,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
coat,4,1,0,2,4.46,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
goat,4,1,0,2,4.11,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bowl,4,1,0,1,4.26,0,0,0,1,4,0.25,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
four,4,1,0,2,5.37,0,0,0,0.5,4,0.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
snowflake,9,2,1,3,2.85,0,0,0,0.666666667,4.5,0.333333333,10,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
pub,3,1,0,1,3.99,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
